Brand,Store Number,Country,Longitude,Latitude
Starbucks,32202-107597,BS,-77.33,25.09
Starbucks,31197-102257,BS,-77.33,25.07
Starbucks,30707-155784,BS,-77.34,25.08
Starbucks,32120-148724,BS,-77.39,25.07
Starbucks,13053-153764,BS,-77.46,25.06
Starbucks,18101-187804,BS,-77.32,25.09
Starbucks,30656-99475,BS,-77.32,25.08
Starbucks,31288-104391,BS,-77.32,25.07
Starbucks,19451-192064,CA,-113.99,51.27
Starbucks,4808-103498,CA,-114,51.27
Starbucks,4937-124045,CA,-114.01,51.29
Starbucks,74745-97386,CA,-114.01,51.3
Starbucks,4997-137066,CA,-114.01,51.3
Starbucks,49107-265792,CA,-113.99,51.27
Starbucks,4457-85801,CA,-115.57,51.18
Starbucks,79618-113148,CA,-115.57,51.18
Starbucks,5013-146204,CA,-115.56,51.15
Starbucks,16143-152236,CA,-113.42,53.36
Starbucks,74983-102402,CA,-111.9,50.57
Starbucks,18193-180784,CA,-114.06,51.05
Starbucks,4773-103661,CA,-114.07,51.04
Teavana,28225-250192,CA,-114.07,51.05
Starbucks,75131-65123,CA,-114.07,51.05
Starbucks,17369-170484,CA,-114.08,51.05
Starbucks,4971-131631,CA,-114.04,51.04
Starbucks,79606-106108,CA,-114.12,51.09
Starbucks,47125-238038,CA,-114.01,51.13
Starbucks,70335-136373,CA,-114.07,50.97
Starbucks,4908-116204,CA,-114.07,51.12
Starbucks,74996-104506,CA,-114.07,51.1
Starbucks,4308-1512,CA,-114,50.95
Starbucks,4381-16457,CA,-114.13,51.09
Teavana,28550-250189,CA,-114.07,51
Starbucks,4549-94631,CA,-114.25,51.12
Starbucks,74678-97415,CA,-114.07,50.91
Starbucks,22864-223124,CA,-114.07,51.05
Starbucks,4751-104207,CA,-114.16,51.16
Teavana,28650-250208,CA,-113.98,51.07
Starbucks,16668-165944,CA,-114.03,50.93
Starbucks,15406-157545,CA,-114.01,51.13
Starbucks,5188-138106,CA,-113.96,50.93
Starbucks,74984-102932,CA,-114.08,51.04
Starbucks,16359-159646,CA,-114.06,51.05
Starbucks,25262-240370,CA,-114.08,51.05
Starbucks,21081-207145,CA,-114.06,51.05
Starbucks,18180-143144,CA,-114.07,50.88
Starbucks,4836-106373,CA,-114.21,51.06
Starbucks,4513-93211,CA,-114.07,51.05
Starbucks,79713-123485,CA,-113.95,51.12
Starbucks,16971-170564,CA,-114.04,50.88
Starbucks,47032-252217,CA,-114.17,51.04
Starbucks,3494-141218,CA,-114.01,51.12
Starbucks,4325-1513,CA,-114.2,51.13
Starbucks,74853-100964,CA,-113.98,51.05
Starbucks,4411-9638,CA,-114.07,50.96
Starbucks,4734-104317,CA,-114.07,51.05
Starbucks,4275-64439,CA,-114.17,51.01
Starbucks,4316-1681,CA,-114.06,51.06
Starbucks,4543-95050,CA,-114.06,51.16
Starbucks,4280-1000,CA,-114.08,51.01
Starbucks,4273-876,CA,-114.1,50.97
Starbucks,1549-108548,CA,-114.06,51.07
Starbucks,4567-96456,CA,-114.04,51.05
Starbucks,74832-99496,CA,-114.1,51.06
Starbucks,75779-94250,CA,-114.01,51.13
Starbucks,4244-877,CA,-114.14,51.1
Starbucks,4242-875,CA,-114.09,51.05
Starbucks,74471-96065,CA,-113.96,50.93
Starbucks,79555-106107,CA,-114.06,50.95
Starbucks,4736-103822,CA,-114.07,51.05
Starbucks,79566-103261,CA,-114.01,50.98
Starbucks,17310-177744,CA,-114.1,51.03
Starbucks,26826-244166,CA,-113.91,51.04
Starbucks,4324-1302,CA,-114.07,50.91
Starbucks,4272-1075,CA,-114.07,51.03
Starbucks,75596-80782,CA,-114.01,51.13
Starbucks,47118-238035,CA,-114.01,51.13
Starbucks,4876-107838,CA,-114.06,50.9
Starbucks,4988-139545,CA,-114.07,50.97
Starbucks,4781-104565,CA,-114.14,51.01
Starbucks,4446-79061,CA,-114.08,50.99
Starbucks,4930-106303,CA,-113.98,51.08
Starbucks,4392-12831,CA,-114.07,51
Starbucks,3138-135605,CA,-114.06,50.95
Starbucks,4601-97847,CA,-114.04,50.98
Starbucks,4413-13201,CA,-114.11,51.02
Starbucks,4878-119106,CA,-114.07,51.05
Starbucks,72478-15113,CA,-114.01,51.13
Starbucks,4853-107841,CA,-113.95,50.91
Starbucks,74854-100260,CA,-114.14,51.02
Starbucks,74714-97382,CA,-114.16,51.11
Starbucks,4917-119105,CA,-114.21,51.04
Starbucks,4619-98394,CA,-114.07,50.91
Starbucks,4423-63940,CA,-114.09,51.07
